Scopus refine results values

"Your query : (TITLE-ABS-KEY((Augmented Reality OR Mixed reality OR VR OR AR OR MR) AND (security OR authentication OR Risks OR privacy )) AND ( LIMIT-TO ( SRCTYPE,""j"" ) OR LIMIT-TO ( SRCTYPE,""p"" ) )  AND ( LIMIT-TO ( OA,""all"" ) )  AND ( LIMIT-TO ( PUBSTAGE,""final"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) )  AND ( LIMIT-TO ( SUBJAREA,""COMP"" ) OR LIMIT-TO ( SUBJAREA,""ENGI"" ) )  AND ( LIMIT-TO ( PUBYEAR,2023) OR LIMIT-TO ( PUBYEAR,2022) OR LIMIT-TO ( PUBYEAR,2021) OR LIMIT-TO ( PUBYEAR,2020) OR LIMIT-TO ( PUBYEAR,2019) OR LIMIT-TO ( PUBYEAR,2018) OR LIMIT-TO ( PUBYEAR,2017) OR LIMIT-TO ( PUBYEAR,2016) OR LIMIT-TO ( PUBYEAR,2015) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) )  AND ( LIMIT-TO ( EXACTKEYWORD,""Virtual Reality"" ) OR LIMIT-TO ( EXACTKEYWORD,""Security Of Data"" ) ) )"


Number of results : 50

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Borro, D.","1",,,,,,,"Journal Of Network And Computer Applications","1","User Experience","3","Dartmouth-Hitchcock Medical Center","1","National University of Singapore","1","Brazil","1",,,,
,,,,"Bradac, F.","1",,,,,,,"Journal Of Network And Systems Management","1","5G","2","Universitat de València","1","Quỹ Đổi mới sáng tạo Vingroup","1","Bulgaria","1",,,,
,,,,"Branco, D.","1",,,,,,,"Journal On Computing And Cultural Heritage","1","Article","2","Chang Jung Christian University","1","Royal Society of Edinburgh","1","Canada","1",,,,
,,,,"Brewster, S.","1",,,,,,,"Mathematical Problems In Engineering","1","Augmented Reality Technology","2","Princeton University","1","Science Foundation Ireland","1","Cyprus","1",,,,
,,,,"Bruno, R.","1",,,,,,,"Mm Science Journal","1","Authentication","2","Centro de Estudios e Investigaciones Técnicas de Gipuzkoa, IK4","1","Science and Engineering Research Council","1","Denmark","1",,,,
,,,,"Buhalis, D.","1",,,,,,,"Nano Micro Letters","1","Block-chain","2","Northwestern Polytechnical University","1","Sixth Framework Programme","1","Finland","1",,,,
,,,,"Burks, G.","1",,,,,,,"Nature Machine Intelligence","1","Clinical Practices","2","Durban University of Technology","1","Small Business Innovation Research","1","Hong Kong","1",,,,
,,,,"Cacchione, M.","1",,,,,,,"Scientific Programming","1","Computer Aided Instruction","2","Universidade de Coimbra, Faculdade de Ciências e Tecnologia","1","Trinity College Dublin","1","Jordan","1",,,,
,,,,"Cai, Y.","1",,,,,,,"Sensors","1","Computer Architecture","2","Prifysgol Abertawe","1","Tufts University","1","Kuwait","1",,,,
,,,,"Calabrese, G.","1",,,,,,,"Sustainability Switzerland","1","Cultural Heritage","2","Charles Darwin University","1","U.S. Army Combat Capabilities Development Command Soldier Center","1","Lebanon","1",,,,
,,,,"Candela, V.","1",,,,,,,"TEM Journal","1","Cultural Heritages","2","Indian Institute of Technology Kharagpur","1","U.S. Department of Defense","1","Mexico","1",,,,
,,,,"Carvalho, C.","1",,,,,,,"Universal Access In The Information Society","1","Deep Neural Networks","2","Universite Paris 8 Vincennes-St Denis","1","U.S. Department of Health and Human Services","1","Morocco","1",,,,
,,,,"Centofanti, C.","1",,,,,,,"Virtual Reality","1","Diagnosis","2","Johns Hopkins University","1","UK-India Education and Research Initiative","1","New Zealand","1",,,,
